1	3408	1	978300275
1	2355	1	978824291
1	2804	1	978300719
1	919	1	978301368
1	595	1	978824268
1	938	1	978301752
1	2398	1	978302281
1	2918	1	978302124
1	1035	1	978301753
1	2791	1	978302188
1	2018	1	978301777
1	3105	1	978301713
1	2797	1	978302039
1	527	1	978824195
1	48	1	978824351
1	1097	1	978301953
1	1545	1	978824139
1	2294	1	978824291
1	3186	1	978300019
1	1566	1	978824330
1	588	1	978824268
1	1907	1	978824330
1	783	1	978824291
1	1836	1	978300172
1	1022	1	978300055
1	150	1	978301777
1	1	1	978824268
1	1961	1	978301590
1	1962	1	978301753
1	260	1	978300760
1	1028	1	978301777
1	1029	1	978302205
1	2028	1	978301619
1	531	1	978302149
1	3114	1	978302174
1	608	1	978301398
2	1357	1	978298709
2	3068	1	978299000
2	1537	1	978299620
2	2194	1	978299297
2	648	1	978299913
2	2268	1	978299297
2	1210	1	978298151
2	3578	1	978298958
2	3105	1	978298673
2	3035	1	978298625
2	1610	1	978299809
2	2236	1	978299220
2	3071	1	978299120
2	368	1	978300002
2	1259	1	978298841
2	1544	1	978300174
2	1293	1	978298261
2	1188	1	978299620
2	3255	1	978299321
2	110	1	978298625
2	1834	1	978298813
2	3471	1	978298814
2	589	1	978299773
2	1873	1	978298542
2	2858	1	978298434
2	1225	1	978298391
2	2028	1	978299773
2	515	1	978298542
2	265	1	978299026
2	480	1	978299809
2	2067	1	978298625
2	1370	1	978299889
2	1193	1	978298413
2	2353	1	978299861
2	590	1	978299083
2	1196	1	978298730
2	593	1	978298517
2	2571	1	978299773
2	1953	1	978298775
2	1954	1	978298841
2	1955	1	978299200
2	1124	1	978299418
2	1957	1	978298750
2	163	1	978299809
2	380	1	978299809
2	457	1	978299773
2	1096	1	978299386
2	920	1	978298775
2	1527	1	978299839
2	3451	1	978298924
2	3095	1	978298517
2	2002	1	978300100
2	1962	1	978298813
2	2943	1	978298372
2	318	1	978298413
2	1207	1	978298478
2	356	1	978299686
2	1247	1	978298652
3	3421	1	978298147
3	1394	1	978298147
3	104	1	978298486
3	2735	1	978297867
3	1079	1	978298296
3	1615	1	978297710
3	1291	1	978297600
3	653	1	978297757
3	2167	1	978297600
3	260	1	978297512
3	2858	1	978297039
3	1049	1	978297805
3	552	1	978297837
3	480	1	978297690
3	1266	1	978297396
3	733	1	978297757
3	1196	1	978297539
3	590	1	978297439
3	2355	1	978298430
3	1378	1	978297419
3	1304	1	978298166
3	2470	1	978297777
3	3168	1	978297570
3	3671	1	978297419
3	2006	1	978297757
3	2871	1	978297539
3	2115	1	978297777
3	1136	1	978298079
3	2081	1	978298504
4	2951	1	978294282
4	1214	1	978294260
4	1036	1	978294282
4	2028	1	978294230
4	480	1	978294008
4	1097	1	978293964
4	3418	1	978294260
4	3702	1	978294260
4	2366	1	978294230
4	1387	1	978294199
4	1201	1	978294230
4	2692	1	978294230
4	2947	1	978294230
4	1240	1	978294260
5	2987	1	978243170
5	2333	1	978242607
5	1175	1	978244759
5	2337	1	978243121
5	1535	1	978245513
5	1392	1	978245645
5	866	1	978245334
5	2770	1	978241981
5	1759	1	978245513
5	506	1	978245999
5	1250	1	978241112
5	509	1	978245829
5	1610	1	978245645
5	2997	1	978241556
5	728	1	978244759
5	2560	1	978242977
5	2858	1	978241390
